"id","exp_influence","issued_posts","issued_comment","issued_like","received_views"
2658,19,25,38,30,18611
2601,3,4,67,0,190
2638,3,9,47,0,522
2701,1,31,35,31,2781
2719,1,1,9,0,1643
2667,14,51,56,36,14954
2655,0,11,41,7,408
2700,0,3,4,0,3096
2722,0,6,8,7,183
2604,1,8,47,4,5743
2629,0,0,2,3,0
2454,1,5,18,9,270
2455,0,4,29,8,327
2456,0,1,18,4,106
2457,0,5,11,2,671
2408,0,3,0,1,107
2603,0,9,13,6,729
2577,5,49,2,6,3444
2421,0,9,1,2,63
2424,0,7,0,2,32
2427,0,6,0,0,26
2423,0,7,4,4,146
2422,0,3,0,0,23
2426,0,16,0,6,196
2688,13,14,7,24,8689
2608,0,3,18,18,87
2543,8,8,18,9,2860
2542,7,4,17,11,5451
2545,5,5,24,13,3788
2544,4,4,25,9,726
2541,0,5,30,20,392
2540,11,8,12,4,5957
2691,2,21,26,33,2464
2611,0,9,0,0,92
2570,0,4,0,0,551
2560,0,1,24,0,48
2562,0,1,6,0,9
2559,1,5,19,0,627
2558,0,8,22,0,1216
2561,0,1,5,0,25
2649,1,26,22,27,1903
2580,1,12,53,1,6472
2588,0,16,53,20,755
2711,19,24,36,8,8215
2596,1,22,24,4,2841
2564,0,4,0,0,56
2568,0,1,0,0,10
2567,0,52,0,0,493
2702,16,5,54,26,5417
2668,0,0,0,0,0
2593,12,7,87,7,9111
2623,0,4,2,3,109
2620,2,9,7,38,1797
2575,10,20,39,86,9562
2622,11,58,5,18,19498
2663,3,17,4,0,2998
2679,4,15,35,0,4670
2718,0,27,22,13,763
2610,2,49,14,25,5712
2665,2,4,31,6,4384
2750,2,6,54,36,3247
2618,3,11,11,5,5404
2654,3,14,24,28,4365
2687,12,34,29,52,7578
2627,11,11,17,13,3788
2709,2,14,30,10,902
2389,0,15,16,18,1013
2387,1,19,19,30,1846
2388,1,15,14,25,1642
2390,0,7,45,49,339
2391,0,17,33,38,849
2704,19,26,27,38,14764
2531,0,2,0,7,217
2529,0,2,1,14,216
2527,3,2,2,6,1525
2530,0,13,0,2,452
2636,0,3,7,13,27
2734,0,4,20,1,39
2657,0,4,10,1,5707
2441,4,1,0,2,1558
2714,0,11,34,13,342
2703,1,15,7,21,1198
